,,,,,,
,,한국어 용어,한국어 용어,중국어 (Simplified Chinese),중국어 번체 (Traditional Chinese),
,[장비 및 레이저],LDM,LDM,LDM,LDM,
,,아쿠아필,아쿠아필,小气泡,水氧煥膚,
,,라라필,라라필,LHALA焕肤,LHALA果酸煥膚,
,,위코우노,위코우노,WiQo Uno管理,WiQo Uno管理,
,,슈링크 유니버스,슈링크 유니버스,韩版超声刀宇宙版,宇宙版SHURINK海芙音波,
,,슈링크 유니버스 울트라,슈링크 유니버스 울트라,韩版超声刀宇宙版（点状探头）,海芙音波Ultra,
,,슈링크 유니버스 부스터,슈링크 유니버스 부스터,韩版超声刀宇宙版（线状探头）,海芙音波Booster,
,,인모드,인모드,InMode,InMode鑽石超塑,
,,인모드 FX,인모드 FX,InMode FX,InMode FX,
,,인모드 Forma,인모드 Forma,InMode Forma,InMode Forma,
,,튠페이스,튠페이스,Tune Face,Tune Face,
,,튠라이너,튠라이너,Tune Liner,Tune Liner,
,,튠바디,튠바디,Tune Body,Tune Body,
,,티타늄 리프팅,티타늄 리프팅,钛提升,鈦提升,
,,온다 리프팅,온다 리프팅,Onda提升,Onda拉提,
,,온다 페이스,온다 페이스,Onda面部,Onda臉部,
,,온다 바디,온다 바디,Onda身体,Onda身體,
,,리니어지,리니어지,LinearZ,LinearZ,
,,올리지오,올리지오,Oligio,Oligio玩美電波,
,,젠틀맥스 프로 플러스,젠틀맥스 프로 플러스,GentleMax Pro Plus,GentleMax Pro Plus,
,,아포지플러스,아포지플러스,Apogee Plus,Apogee Plus,
,,클라리티2,클라리티2,Clarity2,Clarity2,
,,버츄RF,버츄RF,Virtue RF微针,Virtue RF微針,
,,큐어젯,큐어젯,Curejet,Curejet,
,,피코플러스,피코플러스,皮秒激光,皮秒雷射,
,,피코토닝,피코토닝,皮秒美白激光,皮秒美白雷射,
,,피코프락셀,피코프락셀,皮秒飞梭,皮秒飛梭,
,,엑셀V,엑셀V,翠绿激光, ExcelV褪紅雷射,
,,제네시스,제네시스,Genesis激光,Genesis淨膚雷射,
,,카프리레이저,카프리레이저,Capri激光,Capri雷射,
,,아그네스,아그네스,Agnes,Agnes,
,,플래티넘 PTT,플래티넘 PTT,铂金PTT,鉑金PTT,
,,피코슈어프로,피코슈어프로,铂金蜂巢皮秒,鉑金蜂巢皮秒雷射,
,,Mjoule BBL,Mjoule BBL,Mjoule BBL,Mjoule BBL,
,,힐퓨전프로,힐퓨전프로,HealFusion Pro,HealFusion Pro,
,,올타이트,올타이트,Alltite,Alltite,
,,소프웨이브,소프웨이브,索夫波,索夫波,
,,울쎄라,울쎄라,美版超声刀,美國音波,
,,울쎄라 프라임,울쎄라 프라임,美版超声刀第二代Prime,美國音波極透+,
,,,울쎄라피,美版超声刀,美國音波,
,,,울쎄라피 프라임,美版超声刀第二代Prime,美國音波極透+,
,,써마지 FLX,써마지 FLX,热玛吉,鳳凰電波FLX,
,,더마샤인 프로,더마샤인 프로,德玛莎,德瑪莎,
,,고압산소치료,고압산소치료,高压氧治疗,高壓氧治療,
,,코어스컬프,코어스컬프,Core Sculpt,Core Sculpt,
,,오투덤,오투덤,O2toDerm,O2toDerm,
,,스킨스크러버,스킨스크러버,角质层铲,角質層鏟,
,,크라이오,크라이오,Cryo镇静管理,Cryo鎮定管理,
,,이온토미백,이온토미백,离子导入美白,離子導入美白,
,,이온자임,이온자임,离子导入,離子導入,
,,CO2 레이저,CO2 레이저,CO2激光,CO2雷射,
,,바로잰Fit,바로잰Fit,Barozen Fit,Barozen Fit,
,[주사제 및 스킨부스터],보톡스,보톡스,肉毒,肉毒,
,,국산 보톡스,국산 보톡스,韩产肉毒,韓產肉毒,
,,제오민,제오민,德国西马,德國淨優明,
,,엘러간,엘러간,美国保妥适,保妥適,
,,코어톡스,코어톡스,Coretox,Coretox,
,,스킨보톡스,스킨보톡스,弹力肉毒,緊緻肉毒,
,,침샘보톡스,침샘보톡스,唾液腺肉毒,唾液腺肉毒,
,,바디보톡스,바디보톡스,身体肉毒,身體肉毒,
,,주름보톡스,주름보톡스,除皱肉毒,除皺肉毒, 
,,사각턱보톡스,사각턱보톡스,瘦脸针,咀嚼肌肉毒素,
,,입꼬리보톡스,입꼬리보톡스,嘴角肉毒,嘴角肉毒,
,,자갈턱보톡스,자갈턱보톡스,下巴核桃纹肉毒,下巴核桃紋肉毒,
,,필러,필러,玻尿酸填充,玻尿酸填充,
,,국산 필러,국산 필러,韩产玻尿酸,韓產玻尿酸,
,,수입 필러,수입 필러,进口玻尿酸,進口玻尿酸,
,,입술필러,입술필러,嘴唇玻尿酸,嘴唇玻尿酸,
,,턱끝필러,턱끝필러,下巴玻尿酸,下巴玻尿酸,
,,힙딥필러,힙딥필러,臀部玻尿酸,臀部玻尿酸,
,,바디필러,바디필러,身体玻尿酸,身體玻尿酸,
,,채움,채움,Chaeum,Chaeum,
,,벨로테로,벨로테로,保柔缇,保柔緹,
,,쥬비덤,쥬비덤,乔雅登,喬雅登,
,,울트라콜,울트라콜,Ultracol,Ultracol,
,,쥬베룩,쥬베룩,Juvelook,Juvelook,
,,쥬베룩 볼륨,쥬베룩 볼륨,Juvelook Volume,Juvelook膠原蛋白水光,
,,쥬베룩 스킨,쥬베룩 스킨,Juvelook Skin,Juvelook水光,
,,바이리즌,힐로웨이브,Hilowave,Hilowave,
,,릴리이드 M,바이리즌,Byryzn,Byryzn,
,,물광주사,릴리이드 M,Lilied M,Lilied M,
,,엑소좀,물광주사,水光针,水光針,
,,ASCE,엑소좀,外泌体,外泌體,
,,스킨바이브,ASCE,ASCE外泌体,ASCE外泌體,
,,필메드,스킨바이브,Skinvive,Skinvive,
,,엘레멘트,필메드,Fillmed,Fillmed,
,,아기주사,엘레멘트,Element,Element,
,,레티젠,아기주사,婴儿针,嬰兒注射,
,,엘라비에 리투오,레티젠,Laetigen,Laetigen,
,,셀르디엠,엘라비에 리투오,Elravie Re2O,Elravie Re2O,
,,레디어스,셀르디엠,CellREDM赛帝妍,CellREDM真皮膠原水光,
,,스컬트라,레디어스,Radiesse瑞德喜,Radiesse晶亮瓷,
,,셀포좀,스컬트라,Sculptra童颜针,Sculptra童妍針,
,,엑소라인,셀포좀,Selfosome,Selfosome,
,,세렉소,엑소라인,Exoline,Exoline,
,,윤곽주사,세렉소,Celexo,Celexo,
,,바디조각주사,윤곽주사,轮廓注射,輪廓注射,
,,세예핏,바디조각주사,身体溶脂针,身體溶脂注射,
,,세예핏-S,세예핏,世颜溶脂针,世顏溶脂注射,
,,세예핏-V,세예핏-S,世颜身体溶脂针,世顏身體溶脂注射,
,,브이올렛,세예핏-V,世颜面部溶脂针,世顏面部溶脂注射,
,,영양수액,브이올렛,V-Olet,V-Olet,
,,백옥주사,영양수액,营养输液,營養點滴,
,,신데렐라주사,백옥주사,白玉针,白玉點滴,
,,태반주사,신데렐라주사,灰姑娘针,灰姑娘注射,
,,마늘주사,태반주사,胎盘针,胎盤注射,
,,아르기닌주사,마늘주사,大蒜针,大蒜注射,
,,면역력주사,아르기닌주사,精氨酸针,精氨酸注射,
,,비타민D,면역력주사,免疫力针,免疫力注射,
,,감초주사,비타민D,维生素D,維他命D,
,,다이어트 수액,감초주사,甘草针,甘草注射,
,,염증주사,다이어트 수액,减肥输液,減肥點滴,
,,위고비,염증주사,消炎针,消炎針,
,,마운자로,위고비,Wegovy,Wegovy,
,,민트실,마운자로,Mounjaro,Mounjaro,
,[실리프팅 및 기타],아이쓰레드,민트실,薄荷线,薄荷線,
,,실루엣 소프트,아이쓰레드,i-Thread,i-Thread,
,,잼버실,실루엣 소프트,铃铛线,鈴鐺線,
,,모노실,잼버실,Jamber线,Jamber線,
,,제로이드 수딩크림,모노실,Mono线,Mono線,
,,물톡스,제로이드 수딩크림,ZEROID舒缓霜,ZEROID舒緩霜,
,[관리 및 시술],밀크필,물톡스,艺人水光焕肤,藝人水光煥膚,
,,블랙필,밀크필,奶滑焕肤,奶滑煥膚,
,,스킨스케일링,블랙필,黑米醋焕肤,黑米醋煥膚,
,,압출,스킨스케일링,基础清洁管理,基礎清潔管理,
,,문신제거,압출,针清,粉刺清理,
,,점 제거,문신제거,祛纹身,祛紋身,
,,비립종 제거,점 제거,祛痣,點痣,
,,편평사마귀 제거,비립종 제거,祛粟丘疹,祛脂肪粒,
,,얼굴전체,편평사마귀 제거,祛扁平疣,祛扁平疣 ,
,[신체 부위 - 얼굴],중안부,얼굴전체,全脸,全臉,
,,하관,중안부,面中部,面中部,
,,이마,하관,下半脸,下半臉,
,,미간,이마,额头,額頭,
,,눈가,미간,眉间,眉間,
,,눈밑,눈가,眼周,眼周,
,,눈썹위,눈밑,眼底,眼底,
,,콧등,눈썹위,眉上,眉上,
,,인중,콧등,鼻梁,鼻梁,
,,입꼬리,인중,人中,人中,
,,자갈턱,입꼬리,嘴角,嘴角,
,,턱라인,자갈턱,下巴核桃纹,下巴核桃紋,
,,심부볼,턱라인,下颌线,下顎線,
,,이중턱,심부볼,口角囊袋,口膠囊袋,
,,앞광대,이중턱,双下巴,雙下巴,
,,옆볼,앞광대,苹果肌,蘋果肌,
,,관자놀이,옆볼,脸颊,臉頰,
,,팔자주름,관자놀이,太阳穴,太陽穴,
,,마리오넷주름,팔자주름,法令纹,法令紋,
,,목주름,마리오넷주름,木偶纹,木偶紋,
,,승모근,목주름,颈纹,頸紋,
,[신체 부위 - 바디],겨드랑이,승모근,斜方肌,斜方肌,
,,팔뚝,겨드랑이,腋下,腋下,
,,팔상완,팔뚝,手臂,手臂,
,,팔하완,팔상완,大臂,大臂,
,,팔 전체,팔하완,小臂,小臂,
,,쇄골라인,팔 전체,手臂整体,手臂整體,
,,등,쇄골라인,锁骨线,鎖骨線,
,,복부,등,背部,背部,
,,하복부,복부,腹部,腹部,
,,옆구리,하복부,下腹部,下腹部,
,,러브핸들,옆구리,侧腰,側腰,
,,엉덩이 밑,러브핸들,腰侧脂肪,腰側脂肪,
,,골반,엉덩이 밑,臀下,臀部下方,
,,힙딥,골반,骨盆,骨盆,
,,허벅지,힙딥,臀部凹陷,臀部凹陷,
,,무릎,허벅지,大腿,大腿,
,,종아리,무릎,膝盖,膝蓋,
,,발목,종아리,小腿,小腿,
,,다리전체,발목,脚踝,腳踝,
,,비키니라인,다리전체,腿部整体,腿部整體,
,,브라질리언,비키니라인,比基尼线,比基尼線,
,,항문,브라질리언,巴西式,巴西式,
,,회음부,항문,肛门,肛門,
,,,회음부,会阴部,會陰部,
,,스킨부스터,스킨부스터,皮肤增强剂,皮膚增強劑,
,,Ellansé,엘렌쎄,Ellansé少女针,Ellansé少女針,
,,레스틸렌,레스틸렌,瑞蓝,瑞絲朗,
,,,마이크로니들 RF(골드),黄金微针,微針射頻,
,,,초음파 리프팅,超声炮,超音波拉提,
,,,포텐자,黄金微针,微針射頻,
,,,써마지 FLX (아이) ,眼部热玛吉,眼部鳳凰電波FLX,
,,,리쥬란,丽珠兰,麗珠蘭,
,,,리쥬란 힐러,丽珠兰黑盒,麗珠蘭黑盒,
,,,리쥬란 hb,丽珠兰红盒,麗珠蘭HB Plus,
,,,리쥬란 아이,丽珠兰白盒,眼部麗珠蘭,
,,,엠보싱 현상,小鼓包,小鼓包,
,,,턱라인보톡스,下颌线肉毒,下顎線肉毒,
,,,울써마지,热超联合,電音雙波,
,,,소멸핏,小脸Fit,小臉Fit,
,,,간편 상담 예약,快速咨询预约,快速諮詢預約,
,,,시술 안내,施术介绍,療程介紹,
,,,히알루론산 ,透明质酸,透明质酸,
,,,엘라스틴,弹力蛋白,彈力蛋白,
,,,QR코드,二维码,QR Code,
,,,라풀렌,Lafullen,Lafullen,
,,,로테이션 레이저 ,Rotation激光,Rotation雷射,
,,,스킨케어 오마카세,随心所欲 皮肤护理套餐,隨心所欲 皮膚護理套餐,
,,,필 오마카세,随心所欲 焕肤护理套餐,隨心所欲 煥膚護理套餐,
,,,세예 시그니쳐 얼굴 소멸핏,世颜招牌消脸Fit,世顏招牌消臉Fit,
,,,정품·정량,正品·定量,正品·定量,
,,,가격표,价目表,價目表,
,,,실리프팅,线雕,埋線拉提,
,,,바비코,芭比鼻,芭比線,